统一社会信用代码,企业名称,行业代码,主要业务活动,是否体育,体育业态,体育业务占比,置信度,样本ID,标注A_是否体育,标注A_体育业态,标注A_判断依据,标注B_是否体育,标注B_体育业态,标注B_判断依据,金标准_是否体育,金标准_体育业态,金标准_仲裁理由
91510725MAC2H1H71W,梓潼县志噶元体育设施工程有限公司,4991,体育器材安装,True,体育用品,0.6611,0.9,13,是,体育用品,非代码+1信号+短文本,是,体育用品,非代码+1个信号,是,体育用品,双方一致
91511102MAC3NYPQ1E,四川昶畅商贸有限公司,5242,体育用品及器材零售,True,体育用品,0.8736,0.95,14,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510700MAC520063N,四川恒众鑫科技有限公司,6429,互联网信息服务,False,非体育,0.0,0.0,15,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511802MAC73LN48W,雅安弘源体育发展有限公司,9052,体育赛事策划,True,体育赛事,0.6611,0.9,16,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,双方一致
91510124MA6445CR47,成都诺诚斯特体育文化传播有限公司,8930,健身服务,True,健身休闲,0.8736,0.95,17,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511011MAD27ER78M,内江馨凯广告策划制作有限责任公司,7259,广告制作,False,非体育,0.075,0.0,18,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510703MABR818E3T,四川华睿斯游泳馆管理有限公司,8930,游泳服务,True,健身休闲,0.8736,0.95,19,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510181MA65WDGB47,成都菘蓝体育俱乐部有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,20,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510105MA68GP5A4Q,成都永无止境体育文化传播有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,21,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510104MA6C77AA1E,四川乐立峰户外运动有限公司,8930,户外活动组织,True,健身休闲,0.2125,0.85,22,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510106MA64EBW60Q,四川金誉鸿安商贸有限公司,5142,运动器材批发,True,体育用品,0.8736,0.95,23,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510105725359301W,成都市四方印务有限责任公司,2319,包装装潢及其他印刷,False,非体育,0.0,0.0,24,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510300MACUPQC857,自贡市高新区奥帆体育培训学校有限公司,8392,体育培训服务,True,体育培训,0.8736,0.95,25,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91511922MADPFDM008,巴中市龙滕拾光旅游服务有限公司,8930,户外游乐,True,健身休闲,0.2125,0.85,26,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91511400MA644KEN5T,四川雏鹰计划无人机科技有限责任公司,6571,地理遥感信息服务,False,非体育,0.0,0.0,27,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511702MAD1HUTP5E,达州盈盛泰电子商务有限公司,5292,互联网销售,False,非体育,0.0,0.0,28,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510121342998755M,金堂绿茵小将体育培训学校有限责任公司,8392,体育培训文化艺术训,True,体育培训,0.8736,0.95,29,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
92510322MA644YA269,富顺县蜀联茶坊（个人独资）,8930,棋牌室服务,True,健身休闲,0.2125,0.85,30,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91511402MA6ALFY17H,四川蚁动力户外运动拓展有限公司,8930,户外活动,True,健身休闲,0.2125,0.85,31,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510112MABMLCMY26,成都大杰健身服务有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,32,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510107MA63BJHK4B,成都引力佰星科技有限公司,8930,健身休闲服务,True,健身休闲,0.2125,0.85,33,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91512002MA62K6X3XC,资阳市红宜优品户外用品有限公司,5242,零售体育用品,True,体育用品,0.8736,0.95,34,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510100MABUYFQB66,四川盛禧工程项目管理有限公司,7481,工程管理服务,False,非体育,0.0,0.0,35,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511703MAD2GJ0B1A,达州宏卓体育文化传播有限公司,9052,文体服务,False,非体育,0.0,0.0,36,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510107MA67PKBY30,四川胜美新能源有限公司,7320,工程和技术研究,False,非体育,0.0,0.0,37,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510107MA62MPGMX4,成都贤思齐鞋业有限公司,5233,鞋帽零售,False,非体育,0.0,0.0,38,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510104MA6A2U94XX,成都玛尔斯武术俱乐部有限责任公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,39,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
915101227528275532,成都时空引擎斑马网吧,6422,电子竞技服务,True,电子竞技,0.6611,0.9,40,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,双方一致
91510402098338375F,攀枝花六九户外拓展运动策划有限公司,8919,户外拓展运动组织,True,健身休闲,0.8736,0.95,41,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510106MA6CRNFL69,成都凯立新鱼饵有限公司,5242,渔具零售,True,体育用品,0.8736,0.95,42,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510112MA63PEB3XD,成都寻武道文化传播有限公司,8911,跆拳道培训,True,体育培训,0.8736,0.95,43,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510704MACC91KK26,四川迎浩世文化传播有限公司,8392,轮滑培训,True,体育培训,0.2125,0.85,44,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510116MABN958U7D,成都双羽星体育发展有限公司,8930,羽毛球健身,True,体育用品,0.8736,0.95,45,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510124MA7FDCPP02,四川松屹城市家具有限公司,5242,户外座椅零售,True,体育用品,0.2125,0.85,46,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510322MA665N9T8Q,富顺县杰立搏击俱乐部有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,47,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91511902MA633LG81Y,巴中市康骋体育场地建设有限公司,5242,体育用品器材零售,True,体育用品,0.8736,0.95,48,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91511623MAACJB7R5T,邻水县星源篮球俱乐部有限责任公司,8930,健身娱乐,True,健身休闲,0.2125,0.85,49,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510300MA7DL8M32X,四川高合升商业管理有限公司,7222,商业综合体管理服务,False,非体育,0.0,0.0,50,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511528MA63DHFW53,兴文县捷众国际象棋俱乐部有限责任公司,8930,棋牌娱乐服务,True,健身休闲,0.2125,0.85,51,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510112MAC4GTM68G,成都市龙泉驿启智领航体育科技有限公司,8930,体育培训服务,True,体育培训,0.8736,0.95,52,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91511702MAC8QTK399,达州市博临贸易有限公司,5242,体育器材零售,True,体育用品,0.8736,0.95,53,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510105321528690L,成都元侯贸易有限公司,5142,体育用品和器材批发,True,体育用品,0.8736,0.95,54,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510100MA6CFJFJ3W,四川艺巳智能建筑工程有限公司,4892,体育场地工程施工,True,体育场馆,0.8736,0.95,55,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91510100MA6CFA3H67,成都蜀印时代图文设计有限公司,7259,其他广告服务,False,非体育,0.075,0.0,56,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510113MACHC2750T,成都众格旭阳商贸有限公司,5193,互联网服装批发,False,非体育,0.0,0.0,57,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510623MACBBTEL9D,德阳市飞羽羽毛球俱乐部有限公司,8911,体育运动服务,True,体育管理,0.2125,0.85,58,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510623MA64BUT91D,德阳翼搏地坪工程有限公司,4892,体育场地设施工程施工,True,体育场馆,0.8736,0.95,59,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91510104MA6DE0Y537,成都富宏体育文化传播有限公司,9052,体育赛事组织策划服务,True,体育赛事,0.6611,0.9,60,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,双方一致
9111000034423285XQ,成都天府宽窄文化传播有限公司,8911,体育赛事策划,True,体育赛事,0.8736,0.95,61,是,体育赛事,直接代码+2个体育信号,是,体育赛事,直接代码+2个体育信号,是,体育赛事,双方一致
915107036653501287,四川米好食品有限公司,7259,广告设计和制作,False,非体育,0.075,0.0,62,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510522MA6A4A2RX7,合江亿翔广告策划有限公司,7259,广告制作服务,False,非体育,0.075,0.0,63,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511800MACM6D9L69,雅安喜兔供应链科技有限责任公司,5292,技术推广服务,False,非体育,0.0,0.0,64,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511723MACWUFGF77,开江县启航金海豚知道健身管理有限责任公司,8930,健身服务,True,健身休闲,0.8736,0.95,65,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510923314592854Y,大英零柒幺幺电子商务有限公司,5292,互联网零售,False,非体育,0.0,0.0,66,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510403MA6912UM8N,攀枝花琦迹清洗技术有限公司,8211,建筑清洗服务,False,非体育,0.0,0.0,67,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510124MABPTDW23B,四川川体科技有限公司,8912,体育场地设施服务,True,体育场馆,0.8736,0.95,68,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91510107577384694G,成都恒康源科技有限公司,5142,体育器材批发,True,体育用品,0.8736,0.95,69,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510107MAACHE0C58,成都手绘咖商贸有限公司,5292,互联网零售,False,非体育,0.0,0.0,70,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510105MAACQ4HG87,四川圣鑫顺朝体育文化发展有限公司,9052,体育赛事策划,True,体育赛事,0.6611,0.9,71,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,双方一致
915101077497370126,成都九门科技有限公司,6513,多媒体软件开发,False,非体育,0.075,0.0,72,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510115MA6ALN9D8B,成都鸿鑫德广告有限公司,7251,互联网广告设计制作服务,False,非体育,0.075,0.0,73,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91511521MA68A80J79,宜宾市叙州区荣珍医疗器械经营部,8053,养生保健服务,False,非体育,0.0,0.0,74,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91511424MA64UUE06U,丹棱县绿优鲜农业开发有限公司,5292,互联网水果零售,False,非体育,0.0,0.0,75,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510725MA6BLTUD9J,四川帝乡茂叶户外拓展有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,76,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510106MA6DHQG990,四川康正堂生物科技有限公司,5126,保健品批发,False,非体育,0.0,0.0,77,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510131MAC1486NXN,蒲江县弈之山围棋俱乐部有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,78,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91510922MABRQLP42J,遂宁沁芸教育咨询有限公司,5242,体育用品零售,True,体育用品,0.8736,0.95,79,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510603MABU9R0311,四川壹久招标代理有限责任公司,7481,工程造价咨询服务,False,非体育,0.0,0.0,80,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510112MA7KXB3A9H,成都品悟欣阅图书有限公司,5243,书刊零售,False,非体育,0.0,0.0,81,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510108MAACPC240A,成都香霖阁茶楼有限公司,8930,茶楼棋牌服务,True,健身休闲,0.2125,0.85,82,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510100MA6B2GXN0H,四川川体水上文化传播有限公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,83,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91511500MADMK8GB3M,宜宾市新墨象教育咨询有限公司,8399,教育培訓,False,非体育,0.075,0.0,84,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91510502MA6222GWXW,泸州运之康体育场馆服务有限公司,8921,体育场所管理,True,体育场馆,0.8736,0.95,85,是,体育场馆,直接代码+1个体育信号,是,体育场馆,直接代码+1个体育信号,是,体育场馆,双方一致
91511923MABT7UCN8M,巴中市龙福鞋业有限公司,1952,运动鞋制造,True,体育用品,0.7361,0.9,86,是,体育用品,间接代码+1个体育信号,是,体育用品,间接代码+1个体育信号,是,体育用品,双方一致
91510104MA6BEN9M4D,成都农旺善需贸易有限公司,5292,互联网零售,False,非体育,0.0,0.0,87,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510106MABM8HWU6Q,成都威意孚健身管理有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,88,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510703MA6244DG6Y,四川天之健体育用品有限公司,5242,体育器材零售,True,体育用品,0.8736,0.95,89,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91511126MA7LUR5243,乐山千米特训户外拓展有限公司,9052,组织体育表演活动,True,体育赛事,0.6611,0.9,90,是,体育赛事,非代码+1信号+短文本,是,体育赛事,非代码+1个信号,是,体育赛事,双方一致
91510112MAC5XAAA6K,成都云橙鑫城商贸有限公司,5292,互联网零售,False,非体育,0.0,0.0,91,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510114MA65N0D35K,成都智选娱乐有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,92,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510100MA6C73FA27,成都凯可特思商贸有限公司,8930,健身服务,True,健身休闲,0.8736,0.95,93,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510107MABRJKGH0C,四川寰球拓海体育文化发展有限公司,8919,体育文化组织,True,体育管理,0.8736,0.95,94,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510107399425501D,成都丰亿餐饮管理有限公司,5133,鞋帽批发,False,非体育,0.0,0.0,95,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91513401MA7LT0LT82,西昌金亚体育文化发展有限责任公司,8912,金亚体育文化发展,True,体育管理,0.8736,0.95,96,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510100350544155X,成都市魔方运动网络科技有限公司,8930,体育休闲健身服务,True,健身休闲,0.8736,0.95,97,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510502MADQFPHK6J,四川格斯思工程项目管理有限公司,7481,工程管理服务,False,非体育,0.0,0.0,98,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510300782291972P,自贡市巅峰户外运动有限公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,99,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510100MA6ACJ2C5N,成都渡渡鸟网络科技有限公司,7492,动漫产品设计服务,False,非体育,0.0,0.0,100,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510106MA62NLBP79,成都美田电子商务有限公司,5292,网上销售：预包装食品兼散装食品、农副产品、服装、水产品、、建材、机械设备及配件、塑料制品、文具用品、办公设备、金属制品、电气设备、办公用品、体育用品、日用品、玻璃及玻璃制品、金属材料、橡胶制品、五金产品、家具、计算机软硬件；软件开发；信息技术咨询服务（不含信息技术培训服务）,True,体育用品,0.1028,0.6,101,否,,非代码+1弱信号+长文本,是,体育用品,非代码+1个信号,是,体育用品,仲裁(A=False/B=True):非代码+1个信号
91510100MA69GCMQ9C,成都天逸体育文化传播有限公司,9052,体育服务,True,体育管理,0.6611,0.9,102,是,体育管理,非代码+1信号+短文本,是,体育管理,非代码+1个信号,是,体育管理,双方一致
91510124MA69XRAM3K,成都秉承恒鑫商贸有限公司,7481,工程管理服务,False,非体育,0.0,0.0,103,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510124MAC6EKB13J,中际成投成都建设有限公司,4892,体育设施设备施工,True,体育场馆,0.8736,0.95,104,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510503MA64QEE352,泸州市纳溪区力健体育文化传播有限公司,8919,体育保障组织,True,体育管理,0.2125,0.85,105,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510124MA67NTQ47R,四川一健成名体育科技有限公司,8930,健身咨询,True,健身休闲,0.2125,0.85,106,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510107MA61W7JE87,成都泛翔体育用品有限公司,5142,体育用品批发,True,体育用品,0.8736,0.95,107,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91513401MA69LKHU9D,西昌予杨户外运动用品有限责任公司,5242,体育用品及器材零售,True,体育用品,0.8736,0.95,108,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510112MA6CBEJ08B,成都市龙天博汇商贸有限公司,5242,学校训练器材零售,True,体育用品,0.2125,0.85,109,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510421MA638GRK3P,攀枝花乐驰体育文化传播有限公司,8392,体校及体育培训,True,体育培训,0.8736,0.95,110,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91510504MAC7AQEK3K,泸州勇者搏击俱乐部有限责任公司,8930,健身休闲活动,True,健身休闲,0.2125,0.85,111,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510623MAACFEX22Q,四川泉兴体育设施工程有限责任公司,4892,体育场地设施工程施工,True,体育场馆,0.8736,0.95,112,是,体育场馆,直接代码+2个体育信号,是,体育场馆,直接代码+2个体育信号,是,体育场馆,双方一致
91510181MA6B6X73X2,成都优享健身服务有限公司,8930,健身休闲活动服务,True,健身休闲,0.2125,0.85,113,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510107MAAF5LJ98T,四川州驰体育科技有限公司,8911,网球教学,True,体育用品,0.8736,0.95,114,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510106MA61TTQ363,成都西南武术培训中心,8392,市场化体育培训,True,体育培训,0.8736,0.95,115,是,体育培训,直接代码+1个体育信号,是,体育培训,直接代码+1个体育信号,是,体育培训,双方一致
91511102MADLU4R57M,四川如风体育用品有限责任公司,5242,体育用品线上批发与零售,True,体育用品,0.8736,0.95,116,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
91510100MA6CL5M07H,成都山旁之树户外运动有限公司,9052,体育赛事策划,True,体育赛事,0.6611,0.9,117,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,非代码+2个信号→跨界,是,体育赛事,双方一致
91510603MABTFC6B6Q,德阳顶峰健身服务有限公司,8930,游泳健身服务,True,健身休闲,0.8736,0.95,118,是,健身休闲,直接代码+2个体育信号,是,健身休闲,直接代码+2个体育信号,是,健身休闲,双方一致
91510116MA7NBCC18M,成都景三七商贸部,5292,互联网零售活动,False,非体育,0.0,0.0,119,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510124MA68J4U433,成都洛奇体育运动有限公司,8392,自由搏击培训,True,体育培训,0.2125,0.85,120,是,,"直接体育代码,文本无明显体育描述",是,,"直接体育代码,文本无明显体育描述",是,,双方一致
91510703709194746K,绵阳市山水广告工程有限公司,7259,广告设计制作,False,非体育,0.075,0.0,121,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
91513427MA69H3MA9D,宁南县远新摩托车驾驶培训有限责任公司,8391,摩托车技能培训,False,非体育,0.075,0.0,122,否,,间接代码但文本无体育信号,否,,间接代码但文本无体育信号,否,,双方一致
92510824MACLRRNPXX,苍溪县恒态文化传媒有限公司,8930,休闲健身活动,True,健身休闲,0.2125,0.85,123,是,健身休闲,直接代码+1个体育信号,是,健身休闲,直接代码+1个体育信号,是,健身休闲,双方一致
91510922MA688W6C2D,遂宁广联电子商务有限公司,5193,互联网批发,False,非体育,0.0,0.0,124,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510107MAC9PTY41P,成都凯儿星动体育文化传播有限公司,8999,一般项目：组织文化艺术交流活动；体育场地设施经营（不含高危险性体育运动）；体育用品及器材批发；体育用品及器材零售；体育赛事策划；体育竞赛组织；会议及展览服务；健身休闲活动；软件开发；信息咨询服务（不含许可类信息咨询服务）；教育咨询服务（不含涉许可审批的教育培训活动）；社会经济咨询服务；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；日用品销售；建筑材料销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,True,体育用品,0.296,0.75,125,是,体育赛事,非代码+7个强信号→跨界,是,体育赛事,非代码+7个强信号→跨界,是,体育赛事,双方一致
91510107MA6D02937P,四川省满天星体育发展有限公司,9052,体育表演服务,True,体育赛事,0.6611,0.9,126,是,体育赛事,非代码+1信号+短文本,是,体育赛事,非代码+1个信号,是,体育赛事,双方一致
91511803MACL0TX312,四川广大足球俱乐部有限责任公司,8911,体育竞赛组织,True,体育赛事,0.8736,0.95,127,是,体育赛事,直接代码+1个体育信号,是,体育赛事,直接代码+1个体育信号,是,体育赛事,双方一致
91511900MA640L9B68,四川巴牛国际贸易有限责任公司,5181,贸易代理,False,非体育,0.0,0.0,128,否,,无任何体育信号,否,,无任何体育信号,否,,双方一致
91510106MA6C86L02D,成都馨馨泰体育用品有限公司,5142,批发体育用品,True,体育用品,0.8736,0.95,129,是,体育用品,直接代码+1个体育信号,是,体育用品,直接代码+1个体育信号,是,体育用品,双方一致
