样本ID,业务文本,行业代码,行业代码名称,企业名称(脱敏),标注_是否体育,标注_体育业态,标注_置信度(1-5),标注_判断依据
68,体育场地设施服务,8912,体育社团,四川川体***公司,,,,
69,体育器材批发,5142,体育用品批发,成都恒康***公司,,,,
70,互联网零售,5292,其他(5292),成都手绘***公司,,,,
71,体育赛事策划,9052,其他(9052),四川圣鑫***公司,,,,
72,多媒体软件开发,6513,软件开发,成都九门***公司,,,,
73,互联网广告设计制作服务,7251,其他(7251),成都鸿鑫***公司,,,,
74,养生保健服务,8053,其他(8053),宜宾市叙***营部,,,,
75,互联网水果零售,5292,其他(5292),丹棱县绿***公司,,,,
76,健身休闲活动,8930,健身休闲活动,四川帝乡***公司,,,,
77,保健品批发,5126,其他(5126),四川康正***公司,,,,
78,体育竞赛组织,8911,体育组织,蒲江县弈***公司,,,,
79,体育用品零售,5242,体育用品零售,遂宁沁芸***公司,,,,
80,工程造价咨询服务,7481,其他(7481),四川壹久***公司,,,,
81,书刊零售,5243,其他(5243),成都品悟***公司,,,,
82,茶楼棋牌服务,8930,健身休闲活动,成都香霖***公司,,,,
83,体育竞赛组织,8911,体育组织,四川川体***公司,,,,
84,教育培訓,8399,其他教育,宜宾市新***公司,,,,
85,体育场所管理,8921,体育场馆管理,泸州运之***公司,,,,
86,运动鞋制造,1952,其他(1952),巴中市龙***公司,,,,
87,互联网零售,5292,其他(5292),成都农旺***公司,,,,
88,健身休闲活动,8930,健身休闲活动,成都威意***公司,,,,
89,体育器材零售,5242,体育用品零售,四川天之***公司,,,,
90,组织体育表演活动,9052,其他(9052),乐山千米***公司,,,,
91,互联网零售,5292,其他(5292),成都云橙***公司,,,,
92,健身休闲活动,8930,健身休闲活动,成都智选***公司,,,,
93,健身服务,8930,健身休闲活动,成都凯可***公司,,,,
94,体育文化组织,8919,其他体育组织,四川寰球***公司,,,,
95,鞋帽批发,5133,其他(5133),成都丰亿***公司,,,,
96,金亚体育文化发展,8912,体育社团,西昌金亚***公司,,,,
97,体育休闲健身服务,8930,健身休闲活动,成都市魔***公司,,,,
98,工程管理服务,7481,其他(7481),四川格斯***公司,,,,
99,健身休闲活动,8930,健身休闲活动,自贡市巅***公司,,,,
100,动漫产品设计服务,7492,其他(7492),成都渡渡***公司,,,,
101,网上销售：预包装食品兼散装食品、农副产品、服装、水产品、、建材、机械设备及配件、塑料制品、文具用品、办公设备、金属制品、电气设备、办公用品、体育用品、日用品、玻璃及玻璃制品、金属材料、橡胶制品、五金产品、家具、计算机软硬件；软件开发；信息技术咨询服务（不含信息技术培训服务）,5292,其他(5292),成都美田***公司,,,,
102,体育服务,9052,其他(9052),成都天逸***公司,,,,
103,工程管理服务,7481,其他(7481),成都秉承***公司,,,,
104,体育设施设备施工,4892,体育场地设施施工,中际成投***公司,,,,
105,体育保障组织,8919,其他体育组织,泸州市纳***公司,,,,
106,健身咨询,8930,健身休闲活动,四川一健***公司,,,,
107,体育用品批发,5142,体育用品批发,成都泛翔***公司,,,,
108,体育用品及器材零售,5242,体育用品零售,西昌予杨***公司,,,,
109,学校训练器材零售,5242,体育用品零售,成都市龙***公司,,,,
110,体校及体育培训,8392,体校及体育培训,攀枝花乐***公司,,,,
111,健身休闲活动,8930,健身休闲活动,泸州勇者***公司,,,,
112,体育场地设施工程施工,4892,体育场地设施施工,四川泉兴***公司,,,,
113,健身休闲活动服务,8930,健身休闲活动,成都优享***公司,,,,
114,网球教学,8911,体育组织,四川州驰***公司,,,,
115,市场化体育培训,8392,体校及体育培训,成都西南***中心,,,,
116,体育用品线上批发与零售,5242,体育用品零售,四川如风***公司,,,,
117,体育赛事策划,9052,其他(9052),成都山旁***公司,,,,
118,游泳健身服务,8930,健身休闲活动,德阳顶峰***公司,,,,
119,互联网零售活动,5292,其他(5292),成都景三***贸部,,,,
120,自由搏击培训,8392,体校及体育培训,成都洛奇***公司,,,,
121,广告设计制作,7259,广告服务,绵阳市山***公司,,,,
122,摩托车技能培训,8391,职业技能培训,宁南县远***公司,,,,
123,休闲健身活动,8930,健身休闲活动,苍溪县恒***公司,,,,
124,互联网批发,5193,其他(5193),遂宁广联***公司,,,,
125,一般项目：组织文化艺术交流活动；体育场地设施经营（不含高危险性体育运动）；体育用品及器材批发；体育用品及器材零售；体育赛事策划；体育竞赛组织；会议及展览服务；健身休闲活动；软件开发；信息咨询服务（不含许可类信息咨询服务）；教育咨询服务（不含涉许可审批的教育培训活动）；社会经济咨询服务；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；日用品销售；建筑材料销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,8999,其他(8999),成都凯儿***公司,,,,
126,体育表演服务,9052,其他(9052),四川省满***公司,,,,
127,体育竞赛组织,8911,体育组织,四川广大***公司,,,,
128,贸易代理,5181,其他(5181),四川巴牛***公司,,,,
129,批发体育用品,5142,体育用品批发,成都馨馨***公司,,,,
130,图书销售,5243,其他(5243),泸州挑园***资）,,,,
131,网络技术服务,6429,其他(6429),成都掌元***公司,,,,
132,工程管理服务,7481,其他(7481),四川惠天***公司,,,,
133,篮球培训,8392,体校及体育培训,乐山市脱***公司,,,,
134,互联网食品零售,5292,其他(5292),四川青益***公司,,,,
135,体育竞赛组织,8911,体育组织,泸州冠凯***公司,,,,
136,健身休闲活动,8930,健身休闲活动,四川大魔***公司,,,,
137,健身休闲活动,8930,健身休闲活动,成都本心***公司,,,,
138,渔具零售,5242,体育用品零售,乐至县良***营店,,,,
139,拓展训练,8930,健身休闲活动,四川优胜***公司,,,,
140,体育课程培训,8392,体校及体育培训,爱极限成***公司,,,,
141,体育咨询,7246,其他(7246),成都思凯***公司,,,,
142,互联网零售,5292,其他(5292),成都易生***公司,,,,
143,保健品零售,5225,其他(5225),成都康寿***公司,,,,
144,体育用品及器材零售,5242,体育用品零售,四川燎原***公司,,,,
145,互联网零售,5292,其他(5292),成都朝依***公司,,,,
146,户外运动服务,8930,健身休闲活动,理县毕棚***公司,,,,
147,体育竞赛组织,8911,体育组织,西昌市星***乐部,,,,
148,一般项目：服装服饰批发；服装服饰零售；服装辅料销售；服装、服饰检验、整理服务；服装服饰出租；鞋帽零售；鞋帽批发；特种劳动防护用品销售；劳动保护用品销售；互联网销售（除销售需要许可的商品）；日用品销售；会议及展览服务；组织文化艺术交流活动；针纺织品及原料销售；塑料制品销售；礼仪服务；针纺织品销售；体育用品及器材零售；办公用品销售；文具用品零售；广告设计、代理；平面设计；广告发布；日用百货销售；制鞋原辅材料销售；图文设计制作；企业形象策划；家居用品销售；文具用品批发；皮革制品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,5132,其他(5132),四川昌柏***公司,,,,
149,体育训练,8921,体育场馆管理,成都青天***公司,,,,
150,健身休闲活动,8930,健身休闲活动,成都捷芙***公司,,,,
151,体育用品及器材零售,5242,体育用品零售,四川桦崎***公司,,,,
152,网吧电子竞技娱乐服务,9013,其他(9013),成都市锦***网吧,,,,
153,,8930,健身休闲活动,乐至县潮***乐部,,,,
154,旅游业务,7291,旅行社,成都云七***公司,,,,
155,广告制作设计服务,7259,广告服务,自贡鑫港***公司,,,,
156,广告制作,7259,广告服务,巴中市卓***公司,,,,
157,体育用品零售,5242,体育用品零售,西昌市绿***公司,,,,
158,体育项目经营,8930,健身休闲活动,泸州市飞***公司,,,,
159,广告设计制作,7259,广告服务,成都鸿图***公司,,,,
160,健身服务,8930,健身休闲活动,成都常知***公司,,,,
161,网吧服务,9013,其他(9013),成都七彩***网吧,,,,
162,旅行社及相关服务,7291,旅行社,四川省新***公司,,,,
163,棋牌健身活动,8930,健身休闲活动,南充市嘉***茶坊,,,,
164,互联网零售,5292,其他(5292),仪陇浩郅***公司,,,,
165,健身房健身活动,8930,健身休闲活动,成都市零***公司,,,,
166,体育用品零售,5242,体育用品零售,绵阳匠心***公司,,,,
167,体育用品零售,5242,体育用品零售,四川省威***公司,,,,
168,室内休闲健身服务,8930,健身休闲活动,达州市达***公司,,,,
169,体育竞赛组织,8911,体育组织,巴中市拉***公司,,,,
170,广告制作服务,7259,广告服务,成都饰祺***公司,,,,
171,组织策划运动赛事,8911,体育组织,成都育博***公司,,,,
172,工程管理服务,7481,其他(7481),中仪盈创***公司,,,,
173,体育培训服务,8392,体校及体育培训,四川士达***公司,,,,
174,体育活动,8392,体校及体育培训,邛崃市睿***公司,,,,
175,体校及体育培训,8392,体校及体育培训,文氏华承***公司,,,,
176,健身休闲活动,8930,健身休闲活动,绵阳思迈***公司,,,,
177,体育竞赛组织,8911,体育组织,攀枝花市***公司,,,,
178,工程和技术研究和试验发展,7320,其他(7320),四川优亦***公司,,,,
179,保健食品零售,5225,其他(5225),南充金池***公司,,,,
180,广告制作,7259,广告服务,内江博众***公司,,,,
181,广告制作服务,7259,广告服务,成都黑锐***公司,,,,
182,健身服务,8930,健身休闲活动,绵阳禅悦***公司,,,,
183,健身休闲活动,8930,健身休闲活动,四川省奕***公司,,,,
184,体育用品及器材零售,5242,体育用品零售,四川如鑫***公司,,,,
185,体育竞赛组织,8911,体育组织,环奥文体***公司,,,,
186,旅行社服务,7291,旅行社,成都游桃***公司,,,,
187,户外拓展服务,8930,健身休闲活动,南充市远***公司,,,,
188,健身休闲活动,8930,健身休闲活动,成都欣希***公司,,,,
189,小学教育培训,8321,其他(8321),成都市大***公司,,,,
190,体育用品,5142,体育用品批发,四川中探***公司,,,,
191,电子产品研发,7320,其他(7320),四川裕汇***公司,,,,
192,跆拳道培训,8392,体校及体育培训,夹江县剑***公司,,,,
193,室外健身活动,8930,健身休闲活动,泸州市红***公司,,,,
194,健身休闲活动,8930,健身休闲活动,凉山州新***公司,,,,
195,水族器材及用品零售,5242,体育用品零售,成都联宝***公司,,,,
196,麻将机零售,5242,体育用品零售,宜宾市意***公司,,,,
197,工程管理服务,7481,其他(7481),绵阳鑫鸿***公司,,,,
198,体育竞赛组织赛事策划,8911,体育组织,自贡明瑞***公司,,,,
199,文艺创作,8919,其他体育组织,成都艺亦***公司,,,,
200,体育赛事策划,8911,体育组织,成都鸿志***公司,,,,
201,体育场管理服务,8921,体育场馆管理,成都众星***公司,,,,
202,体育文化推广,8912,体育社团,广元市利***公司,,,,
203,工程管理服务,7481,其他(7481),凉山强誉***公司,,,,
204,健康咨询服务,8930,健身休闲活动,四川君安***公司,,,,
205,互联网百货批发,5193,其他(5193),成都蜀成***公司,,,,
206,建筑装饰装修,5011,其他(5011),成都市兴***公司,,,,
207,制作广告装饰材料,7259,广告服务,成都双流***公司,,,,
208,滑雪场经营服务,8921,体育场馆管理,四川王岗***公司,,,,
209,公共建筑装饰和装修,5011,其他(5011),汇雅装饰***公司,,,,
210,体育用品及器材批发,5142,体育用品批发,成都市动***公司,,,,
211,广告制作,7259,广告服务,成都洪盟***公司,,,,
212,健身休闲活动,8930,健身休闲活动,峨边力美***公司,,,,
213,体育用品批发,5142,体育用品批发,四川金康***公司,,,,
214,体育用品零售,5242,体育用品零售,宜宾市万***公司,,,,
215,青少年体育培训,8392,体校及体育培训,四川爱趣***公司,,,,
216,贸易代理,5181,其他(5181),四川宝森***公司,,,,
217,公共建筑装饰装修,5011,其他(5011),四川省宽***公司,,,,
218,体育培训服务,8392,体校及体育培训,成都领跑***公司,,,,
219,工程和技术研究和实验发展,7320,其他(7320),四川省今***公司,,,,
220,体育用品批发,5142,体育用品批发,四川世纪***公司,,,,
221,健身服务,8930,健身休闲活动,江油市伯***公司,,,,
222,组织体育表演活动,9052,其他(9052),成都桦润***公司,,,,
223,网络技术服务,6429,其他(6429),四川韩亿***公司,,,,
224,旅行社及相关服务,7291,旅行社,喜德高搜***合伙,,,,
225,职业技能培训,8391,职业技能培训,平昌县新***公司,,,,
226,电子竞技服务,9013,其他(9013),若尔盖宜***竞馆,,,,
227,工程管理服务,7481,其他(7481),巴中利勇***公司,,,,
228,健身休闲服务,8930,健身休闲活动,成都玖舞***公司,,,,
229,商业综合体管理服务,7222,其他(7222),四川亿众***公司,,,,
230,广告设计制作,7259,广告服务,绵阳辉鹰***公司,,,,
231,体育场馆租用,8921,体育场馆管理,成都锄头***公司,,,,
232,体育器材零售,5242,体育用品零售,天全县金***公司,,,,
233,工程管理,7481,其他(7481),四川九品***公司,,,,
234,体育竞赛组织,8911,体育组织,资阳市时***公司,,,,
235,互联网零售,5292,其他(5292),四川祥和***公司,,,,
236,组织体育表演活动,9052,其他(9052),成都市慷***公司,,,,
237,电影摄制服务,8730,其他(8730),成都熊闷***公司,,,,
238,互联网零售,5292,其他(5292),四川橙香***公司,,,,
239,工程和技术研究和试验发展,7320,其他(7320),中科芯创***公司,,,,
240,体育竞赛组织,8911,体育组织,泸州市跃***公司,,,,
241,人工智能应用软件开发,6513,软件开发,成都京尚***公司,,,,
242,健身服务,8930,健身休闲活动,泸州市江***公司,,,,
243,运动休闲针织服装制造,1821,运动机织服装制造,四川骄乐***公司,,,,
244,组织文化艺术交流活动,8911,体育组织,成都中胤***公司,,,,
245,健身休闲活动,8930,健身休闲活动,成都兴诚***公司,,,,
246,体育活动策划,8911,体育组织,四川笑脸***公司,,,,
247,体育用品批发,5142,体育用品批发,成都康森***公司,,,,
248,户外活动组织策划,8930,健身休闲活动,成都云端***公司,,,,
249,体育竞赛组织,8911,体育组织,雅安新奥***公司,,,,
250,体育项目组织服务,8911,体育组织,遂宁方圆***公司,,,,
251,健身休闲服务,8930,健身休闲活动,成都魔方***公司,,,,
252,体育类社会服务,8919,其他体育组织,四川里德***公司,,,,
253,拓展活动服务,8930,健身休闲活动,都江堰星***公司,,,,
254,体育健身服务,8930,健身休闲活动,四川爱伽***公司,,,,
255,体育广告服务,7259,广告服务,南充柏娅***公司,,,,
256,公路工程监理,7482,其他(7482),四川晴阳***公司,,,,
257,塑胶跑道零售,5242,体育用品零售,成都思锐***公司,,,,
258,武术教育,8392,体校及体育培训,四川龙振***公司,,,,
259,健身休闲活动服务,8930,健身休闲活动,成都减加***公司,,,,
260,网球培训,8392,体校及体育培训,四川天府***公司,,,,
261,广告设计制作,7259,广告服务,射洪市鹏***公司,,,,
262,户外拓展服务,8992,其他(8992),成都翌航***公司,,,,
263,工程造价咨询,7481,其他(7481),四川麦罗***公司,,,,
264,体育器材零售,5242,体育用品零售,四川赛匡***公司,,,,
265,篮球体育服务,8911,体育组织,榕辰体育***公司,,,,
266,体育用品及器材批发,5142,体育用品批发,四川墨唐***公司,,,,
267,组织篮球比赛,8911,体育组织,泸州篮盟***公司,,,,
268,广告制作,7259,广告服务,四川成都***公司,,,,
269,针织或钩针编织服装制造,1821,运动机织服装制造,兴文县西***公司,,,,
270,户外活动,8930,健身休闲活动,泸州童趣***公司,,,,
271,工程管理服务,7481,其他(7481),西昌市嘉***公司,,,,
272,体育竞赛组织,8911,体育组织,四川川体***公司,,,,
273,健身休闲活动,8930,健身休闲活动,泸州一束***公司,,,,
274,体育竞赛组织,8911,体育组织,四川泰巍***公司,,,,
275,体育竟赛组织,8911,体育组织,蓬溪县荣***部馆,,,,
276,互联网体育服装零售,5292,其他(5292),西昌市月***公司,,,,
277,跆拳道培训,8392,体校及体育培训,四川一本***公司,,,,
278,瑜伽服务,8930,健身休闲活动,四川悦己***公司,,,,
279,体育用品及器材批发,5142,体育用品批发,万源市绿***公司,,,,
280,户外运动组织策划,8919,其他体育组织,成都市九***公司,,,,
281,互联网广告设计制作服务,7251,其他(7251),成都诚心***公司,,,,
282,健身运动休闲娱乐,8930,健身休闲活动,南充市沃***公司,,,,
283,一般项目：互联网销售（除销售需要许可的商品）；玩具销售；日用品销售；新鲜水果零售；水产品零售；个人卫生用品销售；服装服饰零售；日用百货销售；化妆品零售；文具用品零售；厨具卫具及日用杂品批发；母婴用品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：出版物零售；出版物互联网销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,5292,其他(5292),成都绪谨***中心,,,,
284,体育经纪服务,7246,其他(7246),资阳小虎***公司,,,,
285,仓库代租代销,5189,其他(5189),什邡市久***公司,,,,
286,户外用品零售,5242,体育用品零售,成都匡赐***营部,,,,
287,按摩服务,8053,其他(8053),大竹县陈***摩店,,,,
288,体育器材批发,5142,体育用品批发,成都正复***公司,,,,
289,健身休闲活动,8930,健身休闲活动,四川鑫阳***公司,,,,
290,休闲健身服务,8930,健身休闲活动,宜宾星地***公司,,,,
291,互联网服务,9013,其他(9013),成都市双***网吧,,,,
292,户外运动的组织与服务,8919,其他体育组织,小金县流***公司,,,,
293,互联网零售,5292,其他(5292),自贡博越***公司,,,,
294,儿童体能训练服务,8930,健身休闲活动,成都飞跃***公司,,,,
295,保健食品零售,5225,其他(5225),成都肥肥***公司,,,,
296,体育场地设施经营,8921,体育场馆管理,四川前沿***公司,,,,
297,健身服务,8930,健身休闲活动,成都来美***公司,,,,
298,健身休闲服务,8930,健身休闲活动,四川力享***公司,,,,
299,体育场馆经营管理,8921,体育场馆管理,四川奥星***公司,,,,
300,营养和保健品批发,5126,其他(5126),成都君仁***公司,,,,
